0.134674D+01	0.139115D+01				
0.101421D+00	0.227046D+00	0.367040D+00	0.511344D+00	0.651324D+00	0.778049D+00
0.890855D+00	0.989967D+00	0.107663D+01	0.115243D+01	0.121895D+01	0.127767D+01
0.132982D+01	0.137643D+01				
0.105577D+00	0.238652D+00	0.382236D+00	0.526385D+00	0.664599D+00	0.789773D+00
0.901945D+00	0.100140D+01	0.108920D+01	0.116670D+01	0.123528D+01	0.129621D+01
0.135061D+01	0.139946D+01				
0.845564D-01	0.213528D+00	0.360086D+00	0.511463D+00	0.655660D+00	0.789674D+00
0.912687D+00	0.102488D+01	0.112678D+01	0.121910D+01	0.130259D+01	0.137802D+01
0.144618D+01	0.150780D+01				
0.962249D-01	0.227900D+00	0.371154D+00	0.515907D+00	0.655168D+00	0.788944D+00
0.917990D+00	0.104290D+01	0.116373D+01	0.128018D+01	0.139170D+01	0.149774D+01
0.159786D+01	0.169175D+01				
0.903439D-01	0.214761D+00	0.353187D+00	0.495014D+00	0.633732D+00	0.771460D+00
0.912830D+00	0.106252D+01	0.122377D+01	0.139783D+01	0.158396D+01	0.177968D+01
0.198125D+01	0.218427D+01				
0.105026D+00	0.218456D+00	0.341303D+00	0.469468D+00	0.597000D+00	0.721594D+00
0.842906D+00	0.960957D+00	0.107563D+01	0.118664D+01	0.129364D+01	0.139628D+01
0.149426D+01	0.158733D+01				
0.952585D-01	0.206415D+00	0.332022D+00	0.462797D+00	0.592773D+00	0.725065D+00
0.865868D+00	0.102092D+01	0.119371D+01	0.138484D+01	0.159208D+01	0.181081D+01
0.203493D+01	0.225781D+01				
0.100983D+00	0.227252D+00	0.365740D+00	0.498741D+00	0.621952D+00	0.737413D+00
0.847461D+00	0.953422D+00	0.105583D+01	0.115485D+01	0.125055D+01	0.134295D+01
0.143204D+01	0.151782D+01				
0.109566D+00	0.224513D+00	0.347849D+00	0.472393D+00	0.598643D+00	0.733356D+00
0.884492D+00	0.105824D+01	0.125741D+01	0.148090D+01	0.172382D+01	0.197845D+01
0.223566D+01	0.248654D+01				
0.108228D+00	0.219527D+00	0.346789D+00	0.474208D+00	0.596337D+00	0.713299D+00
0.825732D+00	0.933659D+00	0.103681D+01	0.113504D+01	0.122844D+01	0.131732D+01
0.140204D+01	0.148294D+01				
0.121587D+00	0.236218D+00	0.359966D+00	0.482905D+00	0.608411D+00	0.745058D+00
0.900471D+00	0.107884D+01	0.128015D+01	0.150036D+01	0.173237D+01	0.196754D+01
0.219731D+01	0.241462D+01				
0.123644D+00	0.211229D+00	0.306577D+00	0.402330D+00	0.498593D+00	0.597356D+00
0.699527D+00	0.804912D+00	0.912711D+00	0.102185D+01	0.113111D+01	0.123925D+01
0.134498D+01	0.144715D+01				
0.137753D+00	0.230057D+00	0.335473D+00	0.448893D+00	0.573953D+00	0.715464D+00
0.874818D+00	0.104933D+01	0.123342D+01	0.142029D+01	0.160356D+01	0.177829D+01
0.194126D+01	0.209086D+01				
0.175821D+00	0.266889D+00	0.363508D+00	0.463834D+00	0.572756D+00	0.695022D+00
0.833159D+00	0.987148D+00	0.115431D+01	0.132961D+01	0.150666D+01	0.167896D+01
0.184113D+01	0.198957D+01				
0.191770D+00	0.260443D+00	0.347838D+00	0.453975D+00	0.581121D+00	0.727478D+00
0.885473D+00	0.104479D+01	0.119644D+01	0.133515D+01	0.145937D+01	0.156996D+01
0.166885D+01	0.175807D+01				
0.209666D+00	0.241620D+00	0.297710D+00	0.383722D+00	0.502707D+00	0.655670D+00
0.839808D+00	0.104650D+01	0.126228D+01	0.147267D+01	0.166646D+01	0.183766D+01
0.198508D+01	0.211062D+01				
0.274399D+00	0.319827D+00	0.406699D+00	0.536060D+00	0.695974D+00	0.859977D+00
0.100324D+01	0.111562D+01	0.120037D+01	0.126605D+01	0.132069D+01	0.136990D+01
0.141697D+01	0.146356D+01				
0.248256D+00	0.333391D+00	0.480144D+00	0.630484D+00	0.777940D+00	0.938239D+00
0.111399D+01	0.129541D+01	0.147026D+01	0.163006D+01	0.177127D+01	0.189414D+01
0.200077D+01	0.209391D+01				
0.331145D+00	0.374103D+00	0.499199D+00	0.643774D+00	0.747254D+00	0.802116D+00
0.828774D+00	0.845265D+00	0.861128D+00	0.880358D+00	0.904213D+00	0.932710D+00
0.965323D+00	0.100131D+01				
0.382528D+00	0.399661D+00	0.446610D+00	0.545942D+00	0.701407D+00	0.898346D+00
0.111148D+01	0.131737D+01	0.150233D+01	0.166238D+01	0.179916D+01	0.191646D+01
0.201815D+01	0.210757D+01				
0.326592D+00	0.391550D+00	0.423291D+00	0.442233D+00	0.456371D+00	0.469155D+00
0.482543D+00	0.497722D+00	0.515336D+00	0.535636D+00	0.558586D+00	0.583959D+00
0.611406D+00	0.640510D+00				
0.214969D+00	0.362699D+00	0.509951D+00	0.655876D+00	0.799148D+00	0.938092D+00
0.107107D+01	0.119683D+01	0.131461D+01	0.142414D+01	0.152552D+01	0.161915D+01
0.170554D+01	0.178532D+01				
