0.367731D-01	0.163913D+00	0.340422D+00	0.450675D+00	0.480774D+00
0.455059D+00	0.412830D+00	0.365621D+00	0.319247D+00	0.279701D+00
0.242940D+00	0.212373D+00	0.185788D+00	0.162761D+00	
0.401725D-01	0.135751D+00	0.286829D+00	0.397063D+00	0.447243D+00
0.443489D+00	0.409339D+00	0.365261D+00	0.324318D+00	0.287179D+00
0.251967D+00	0.221384D+00	0.194913D+00	0.171399D+00	
0.100164D-01	0.499060D-01	0.162506D+00	0.291547D+00	0.374860D+00
0.405695D+00	0.404671D+00	0.379523D+00	0.349452D+00	0.318553D+00
0.285742D+00	0.254961D+00	0.227376D+00	0.202670D+00	
0.183561D-01	0.569430D-01	0.132531D+00	0.220588D+00	0.290113D+00
0.325905D+00	0.338711D+00	0.331201D+00	0.314057D+00	0.290369D+00
0.266456D+00	0.240667D+00	0.216498D+00	0.194327D+00	
0.100470D-01	0.298814D-01	0.724730D-01	0.143585D+00	0.216226D+00
0.267983D+00	0.298783D+00	0.307658D+00	0.302833D+00	0.290299D+00
0.273952D+00	0.254660D+00	0.234856D+00	0.215503D+00	
0.814751D-02	0.263490D-01	0.587517D-01	0.114073D+00	0.174862D+00
0.223830D+00	0.250805D+00	0.264261D+00	0.268430D+00	0.265952D+00
0.256599D+00	0.243777D+00	0.227716D+00	0.211991D+00	
0.332615D-02	0.133780D-01	0.304197D-01	0.651498D-01	0.112514D+00
0.157435D+00	0.187936D+00	0.206785D+00	0.215479D+00	0.220953D+00
0.217865D+00	0.209719D+00	0.199269D+00	0.187183D+00	
0.145014D-02	0.651292D-02	0.190957D-01	0.429802D-01	0.765358D-01
0.110532D+00	0.140290D+00	0.163474D+00	0.177255D+00	0.182606D+00
0.183711D+00	0.178450D+00	0.170446D+00	0.160513D+00	
0.404058D-02	0.176833D-01	0.290916D-01	0.377233D-01	0.472307D-01
0.585734D-01	0.735322D-01	0.850486D-01	0.937964D-01	0.101304D+00
0.105154D+00	0.105759D+00	0.104365D+00	0.101519D+00	
0.655438D-03	0.332178D-02	0.836715D-02	0.148480D-01	0.237416D-01
0.335392D-01	0.439206D-01	0.542254D-01	0.624151D-01	0.692895D-01
0.745114D-01	0.773071D-01	0.788155D-01	0.790003D-01	
0.105181D-02	0.727681D-02	0.164408D-01	0.259999D-01	0.365935D-01
0.495757D-01	0.615466D-01	0.741086D-01	0.848075D-01	0.925808D-01
0.986837D-01	0.102513D+00	0.104125D+00	0.104140D+00	
0.481949D-03	0.198185D-02	0.570911D-02	0.148660D-01	0.321992D-01
0.552882D-01	0.794115D-01	0.100162D+00	0.116569D+00	0.130098D+00
0.138465D+00	0.143410D+00	0.144903D+00	0.143829D+00	
0.750986D-03	0.466810D-02	0.108606D-01	0.193215D-01	0.323301D-01
0.505377D-01	0.715600D-01	0.921855D-01	0.110927D+00	0.125764D+00
0.137367D+00	0.144975D+00	0.147980D+00	0.148384D+00	
0.199567D-03	0.946901D-03	0.321338D-02	0.788698D-02	0.164183D-01
0.289333D-01	0.451615D-01	0.614101D-01	0.784841D-01	0.932224D-01
