 Table IV NASA Rotor 37 Blade Geometry
 Z and R are in centimeters

 SURFACE NUMBER     1 FROM THE HUB - hub/blade intersection.
    J      Z           R         THETA 1     THETA 2
   66   3.3014677  23.4402008   0.0846191   0.0785112
   67   3.3328178  23.4356880   0.0859010   0.0802474
   68   3.3610260  23.4316635   0.0870437   0.0818004
   69   3.3864508  23.4280739   0.0880644   0.0831928
   70   3.4093971  23.4248581   0.0889773   0.0844434
   71   3.4301207  23.4219875   0.0897947   0.0855679
   72   3.4479678  23.4195328   0.0904932   0.0865325
   73   3.4641500  23.4173164   0.0911226   0.0874045
   74   3.4788120  23.4153214   0.0916895   0.0881925
   75   3.4920807  23.4135323   0.0921999   0.0889038
   76   3.5040777  23.4119205   0.0926594   0.0895456
   77   3.5149083  23.4104729   0.0930725   0.0901239
   78   3.5246692  23.4091702   0.0934436   0.0906443
   79   3.5334578  23.4080067   0.0937765   0.0911119
   80   3.5417767  23.4069061   0.0940909   0.0915540
   81   3.5492065  23.4059334   0.0943708   0.0919483
   82   3.5558200  23.4050617   0.0946196   0.0922990
   83   3.5616939  23.4043026   0.0948402   0.0926103
   84   3.5668957  23.4036198   0.0950355   0.0928859
   85   3.5714917  23.4030228   0.0952075   0.0931290
   86   3.5755346  23.4024944   0.0953547   0.0933431
   87   3.5790827  23.4020367   0.0954355   0.0935309
   88   3.5821905  23.4016361   0.0954690   0.0936954
   89   3.5849063  23.4012814   0.0954746   0.0938390
   90   3.5872724  23.4009781   0.0954620   0.0939643
   91   3.5893335  23.4007072   0.0954370   0.0940735
   92   3.5911303  23.4004745   0.0954033   0.0941685
   93   3.5926943  23.4002743   0.0953632   0.0942513
   94   3.5940580  23.4000988   0.0953179   0.0943235
   95   3.5952458  23.3999443   0.0952686   0.0943864
   96   3.5962789  23.3998127   0.0952149   0.0944422
   97   3.5971799  23.3996964   0.0951565   0.0945007
   98   3.5979598  23.3995953   0.0950908   0.0945663
   99   3.5986421  23.3995075   0.0950105   0.0946467
  100   3.5992475  23.3994274   0.0948287   0.0948287
 SURFACE NUMBER    11 FROM THE HUB.
    J      Z           R         THETA 1     THETA 2
    1   0.5318365  24.5289211  -0.0987630  -0.0987630
    2   0.5323935  24.5288086  -0.0986107  -0.0989151
    3   0.5330318  24.5286789  -0.0985428  -0.0989830
    4   0.5337697  24.5285282  -0.0984826  -0.0990384
    5   0.5346193  24.5283585  -0.0984134  -0.0990872
    6   0.5355985  24.5281620  -0.0983338  -0.0991313
    7   0.5367233  24.5279388  -0.0982423  -0.0991712
    8   0.5380156  24.5276775  -0.0981371  -0.0992068
    9   0.5394987  24.5273762  -0.0980165  -0.0992370
   10   0.5412034  24.5270290  -0.0978779  -0.0992600
   11   0.5431578  24.5266342  -0.0977190  -0.0992734
   12   0.5454023  24.5261841  -0.0975366  -0.0992724
   13   0.5479752  24.5256615  -0.0973275  -0.0992498
   14   0.5509251  24.5250645  -0.0970881  -0.0991909
   15   0.5542927  24.5243893  -0.0968147  -0.0990537
   16   0.5581312  24.5236111  -0.0965034  -0.0988120
   17   0.5624927  24.5227356  -0.0961500  -0.0985373
   18   0.5674338  24.5217285  -0.0957503  -0.0982265
   19   0.5730122  24.5206070  -0.0952994  -0.0978753
   20   0.5792935  24.5193367  -0.0947923  -0.0974796
   21   0.5863512  24.5179100  -0.0942239  -0.0970351
   22   0.5942620  24.5163136  -0.0935885  -0.0965369
   23   0.6031061  24.5145302  -0.0928798  -0.0959797
   24   0.6124387  24.5126476  -0.0921345  -0.0953915
   25   0.6227962  24.5105553  -0.0913104  -0.0947387
   26   0.6342710  24.5082417  -0.0904013  -0.0940151
   27   0.6469674  24.5056763  -0.0894005  -0.0932142
   28   0.6609957  24.5028477  -0.0883010  -0.0923287
   29   0.6764783  24.4997215  -0.0870950  -0.0913507
   30   0.6935545  24.4962730  -0.0857735  -0.0902710
   31   0.7133853  24.4922638  -0.0842491  -0.0890151
   32   0.7353496  24.4878292  -0.0825718  -0.0876217
   33   0.7596916  24.4829121  -0.0807216  -0.0860728
   34   0.7866969  24.4774513  -0.0786733  -0.0843474
   35   0.8167224  24.4713840  -0.0763942  -0.0824197
   36   0.8501909  24.4646053  -0.0738433  -0.0802592
   37   0.8875956  24.4570217  -0.0709763  -0.0778364
   38   0.9292045  24.4485741  -0.0677707  -0.0751462
   39   0.9772847  24.4387970  -0.0640464  -0.0720644
   40   1.0301700  24.4280014  -0.0599390  -0.0686984
   41   1.0883362  24.4160995  -0.0554410  -0.0649592
   42   1.1523174  24.4029808  -0.0505501  -0.0607320
   43   1.2226949  24.3885384  -0.0452252  -0.0560085
   44   1.3001213  24.3726768  -0.0393811  -0.0509064
   45   1.3853079  24.3552933  -0.0329594  -0.0453517
   46   1.4790345  24.3362484  -0.0259221  -0.0390862
   47   1.5821625  24.3153763  -0.0182282  -0.0320723
   48   1.6956146  24.2924213  -0.0098535  -0.0242992
   49   1.8203826  24.2669830  -0.0006440  -0.0156664
   50   1.9575465  24.2385311   0.0097487  -0.0062273
   51   2.0945930  24.2094593   0.0196391   0.0034939
   52   2.2315590  24.1799927   0.0296035   0.0133416
   53   2.3560460  24.1530781   0.0379078   0.0217852
   54   2.4692304  24.1286831   0.0450607   0.0295583
   55   2.5721426  24.1066093   0.0516199   0.0369880
   56   2.6657157  24.0866508   0.0569761   0.0434252
   57   2.7508101  24.0686169   0.0614756   0.0490215
   58   2.8281829  24.0523376   0.0654797   0.0540359
   59   2.8985367  24.0376511   0.0690379   0.0585268
   60   2.9625139  24.0244179   0.0721823   0.0625365
   61   3.0206954  24.0125103   0.0749624   0.0661173
   62   3.0736141  24.0017967   0.0774267   0.0693192
   63   3.1217425  23.9921665   0.0796162   0.0721841
   64   3.1634066  23.9839306   0.0814729   0.0746264
   65   3.2008739  23.9766026   0.0831128   0.0767921
   66   3.2344074  23.9701099   0.0845578   0.0787070
   67   3.2644963  23.9643478   0.0858373   0.0804083
   68   3.2915726  23.9592075   0.0869761   0.0819286
   69   3.3159800  23.9546261   0.0879934   0.0832924
   70   3.3380136  23.9505138   0.0889052   0.0845199
   71   3.3579102  23.9468384   0.0897236   0.0856264
   72   3.3750451  23.9436951   0.0904250   0.0865783
   73   3.3905857  23.9408627   0.0910585   0.0874410
   74   3.4046683  23.9383030   0.0916306   0.0882224
   75   3.4174123  23.9360027   0.0921470   0.0889295
   76   3.4289322  23.9339352   0.0926126   0.0895683
   77   3.4393358  23.9320717   0.0930320   0.0901451
   78   3.4487119  23.9304008   0.0934093   0.0906648
   79   3.4571493  23.9289074   0.0937482   0.0911323
   80   3.4651437  23.9274921   0.0940686   0.0915749
   81   3.4722791  23.9262371   0.0943542   0.0919699
   82   3.4786322  23.9251213   0.0946083   0.0923217
   83   3.4842741  23.9241314   0.0948338   0.0926341
   84   3.4892731  23.9232597   0.0950333   0.0929108
   85   3.4936829  23.9224873   0.0952094   0.0931550
   86   3.4975688  23.9218082   0.0953542   0.0933700
   87   3.5009794  23.9212151   0.0954270   0.0935588
   88   3.5039644  23.9206944   0.0954568   0.0937243
   89   3.5065722  23.9202423   0.0954606   0.0938687
   90   3.5088470  23.9198475   0.0954476   0.0939947
   91   3.5108268  23.9195061   0.0954232   0.0941045
   92   3.5125539  23.9192028   0.0953905   0.0942000
   93   3.5140586  23.9189415   0.0953520   0.0942834
   94   3.5153666  23.9187164   0.0953087   0.0943560
   95   3.5165074  23.9185181   0.0952614   0.0944193
   96   3.5175002  23.9183445   0.0952103   0.0944742
   97   3.5183654  23.9181938   0.0951545   0.0945300
   98   3.5191164  23.9180660   0.0950920   0.0945926
   99   3.5197697  23.9179535   0.0950155   0.0946691
  100   3.5203538  23.9178486   0.0948423   0.0948422
 SURFACE NUMBER    12 FROM THE HUB - blade tip section.
    J      Z           R         THETA 1     THETA 2
    1   0.6317154  25.1972466  -0.0988740  -0.0988740
    2   0.6322378  25.1971092  -0.0987322  -0.0990158
    3   0.6328344  25.1969547  -0.0986688  -0.0990792
    4   0.6335253  25.1967735  -0.0986114  -0.0991307
    5   0.6343207  25.1965714  -0.0985451  -0.0991763
    6   0.6352358  25.1963310  -0.0984690  -0.0992176
    7   0.6362887  25.1960583  -0.0983814  -0.0992552
    8   0.6374996  25.1957436  -0.0982807  -0.0992887
    9   0.6388864  25.1953793  -0.0981651  -0.0993174
   10   0.6404824  25.1949635  -0.0980325  -0.0993395
   11   0.6423125  25.1944885  -0.0978803  -0.0993530
   12   0.6444107  25.1939411  -0.0977056  -0.0993537
   13   0.6468221  25.1933136  -0.0975054  -0.0993350
   14   0.6495808  25.1925926  -0.0972761  -0.0992844
   15   0.6527340  25.1917744  -0.0970141  -0.0991682
   16   0.6563285  25.1908340  -0.0967159  -0.0989310
   17   0.6604100  25.1897697  -0.0963772  -0.0986538
   18   0.6650344  25.1885605  -0.0959941  -0.0983397
   19   0.6702577  25.1871929  -0.0955617  -0.0979849
   20   0.6761388  25.1856556  -0.0950754  -0.0975852
   21   0.6827441  25.1839218  -0.0945300  -0.0971363
   22   0.6901452  25.1819801  -0.0939198  -0.0966334
   23   0.6984227  25.1798019  -0.0932393  -0.0960710
   24   0.7071543  25.1775074  -0.0925227  -0.0954775
   25   0.7168422  25.1749554  -0.0917300  -0.0948191
   26   0.7275755  25.1721191  -0.0908546  -0.0940895
   27   0.7394485  25.1689796  -0.0898900  -0.0932826
   28   0.7525658  25.1655045  -0.0888289  -0.0923910
   29   0.7670444  25.1616669  -0.0876634  -0.0914069
   30   0.7830076  25.1574135  -0.0863843  -0.0903214
   31   0.8015459  25.1524696  -0.0849059  -0.0890595
   32   0.8220735  25.1469841  -0.0832754  -0.0876602
   33   0.8448198  25.1408844  -0.0814736  -0.0861055
   34   0.8700525  25.1340942  -0.0794751  -0.0843733
   35   0.8980987  25.1265335  -0.0772496  -0.0824376
   36   0.9293585  25.1180725  -0.0747597  -0.0802674
   37   0.9642888  25.1085873  -0.0719641  -0.0778332
   38   1.0031376  25.0980072  -0.0688407  -0.0751284
   39   1.0480218  25.0857430  -0.0652143  -0.0720192
   40   1.0973868  25.0721989  -0.0612139  -0.0686043
   41   1.1516790  25.0572758  -0.0568214  -0.0648022
   42   1.2113943  25.0408154  -0.0520166  -0.0605451
   43   1.2770740  25.0226765  -0.0467492  -0.0558698
   44   1.3493226  25.0027046  -0.0409474  -0.0508061
   45   1.4287988  24.9807281  -0.0345675  -0.0451545
   46   1.5162201  24.9565201  -0.0275830  -0.0387751
   47   1.6123732  24.9298134  -0.0199291  -0.0318154
   48   1.7181214  24.9003334  -0.0114509  -0.0240485
   49   1.8344059  24.8677197  -0.0019863  -0.0153436
   50   1.9622566  24.8315697   0.0081214  -0.0057411
   51   2.0900283  24.7951050   0.0181393   0.0038842
   52   2.2177558  24.7584496   0.0292663   0.0133584
   53   2.3338642  24.7250671   0.0377308   0.0223062
   54   2.4394398  24.6947708   0.0449127   0.0306662
   55   2.5354543  24.6673222   0.0513263   0.0378523
   56   2.6227813  24.6425095   0.0567875   0.0438055
   57   2.7022200  24.6201057   0.0615749   0.0493270
   58   2.7744846  24.5999146   0.0658038   0.0545010
   59   2.8402269  24.5817356   0.0694568   0.0591329
   60   2.9000409  24.5653706   0.0726115   0.0632085
   61   2.9544597  24.5506554   0.0753822   0.0667967
   62   3.0039716  24.5374241   0.0778435   0.0699658
   63   3.0490191  24.5255241   0.0800353   0.0727826
   64   3.0880246  24.5153389   0.0818920   0.0751822
   65   3.1231146  24.5062637   0.0835272   0.0773165
   66   3.1545303  24.4982224   0.0849632   0.0792107
   67   3.1827269  24.4910812   0.0862306   0.0808988
   68   3.2081041  24.4847012   0.0873556   0.0824092
   69   3.2309852  24.4790039   0.0883584   0.0837642
   70   3.2516439  24.4738979   0.0892548   0.0849826
   71   3.2703021  24.4693165   0.0900578   0.0860795
   72   3.2863753  24.4654007   0.0907449   0.0870217
   73   3.3009534  24.4618664   0.0913646   0.0878745
   74   3.3141630  24.4586754   0.0919234   0.0886457
   75   3.3261232  24.4558029   0.0924272   0.0893428
   76   3.3369336  24.4532166   0.0928809   0.0899722
   77   3.3466947  24.4508877   0.0932893   0.0905396
   78   3.3554926  24.4487972   0.0936564   0.0910507
   79   3.3634114  24.4469204   0.0939860   0.0915102
   80   3.3709071  24.4451485   0.0942973   0.0919449
   81   3.3776002  24.4435768   0.0945747   0.0923326
   82   3.3835602  24.4421730   0.0948213   0.0926778
   83   3.3888533  24.4409332   0.0950401   0.0929842
   84   3.3935440  24.4398346   0.0952336   0.0932554
   85   3.3976817  24.4388657   0.0954044   0.0934949
   86   3.4013298  24.4380131   0.0955511   0.0937058
   87   3.4045308  24.4372673   0.0956312   0.0938908
   88   3.4073331  24.4366169   0.0956655   0.0940529
   89   3.4097829  24.4360485   0.0956737   0.0941944
   90   3.4119184  24.4355488   0.0956650   0.0943178
   91   3.4137802  24.4351215   0.0956449   0.0944253
   92   3.4154024  24.4347382   0.0956168   0.0945191
   93   3.4168172  24.4344139   0.0955828   0.0946007
   94   3.4180484  24.4341278   0.0955443   0.0946719
   95   3.4191215  24.4338779   0.0955019   0.0947337
   96   3.4200530  24.4336624   0.0954558   0.0947876
   97   3.4208658  24.4334736   0.0954054   0.0948380
   98   3.4215736  24.4333115   0.0953487   0.0948948
   99   3.4221883  24.4331703   0.0952792   0.0949641
  100   3.4227355  24.4330425   0.0951217   0.0951216
 SURFACE NUMBER    13 FROM THE HUB - blade/shroud intersection.
    J      Z           R         THETA 1     THETA 2
    1   0.6383425  25.2322521  -0.0989159  -0.0989159
    2   0.6388631  25.2321148  -0.0987745  -0.0990574
    3   0.6394575  25.2319603  -0.0987113  -0.0991205
    4   0.6401458  25.2317810  -0.0986540  -0.0991719
    5   0.6409383  25.2315769  -0.0985880  -0.0992175
    6   0.6418501  25.2313366  -0.0985120  -0.0992587
    7   0.6428990  25.2310677  -0.0984247  -0.0992962
    8   0.6441055  25.2307510  -0.0983243  -0.0993297
    9   0.6454872  25.2303905  -0.0982090  -0.0993584
   10   0.6470772  25.2299767  -0.0980767  -0.0993807
   11   0.6489009  25.2294998  -0.0979249  -0.0993943
   12   0.6509911  25.2289543  -0.0977508  -0.0993954
   13   0.6533939  25.2283268  -0.0975510  -0.0993773
   14   0.6561421  25.2276096  -0.0973224  -0.0993278
   15   0.6592839  25.2267914  -0.0970611  -0.0992144
   16   0.6628652  25.2258549  -0.0967637  -0.0989780
   17   0.6669316  25.2247944  -0.0964259  -0.0987006
   18   0.6715390  25.2235832  -0.0960438  -0.0983865
   19   0.6767432  25.2222233  -0.0956125  -0.0980317
   20   0.6826028  25.2206879  -0.0951274  -0.0976322
   21   0.6891836  25.2189579  -0.0945833  -0.0971832
   22   0.6965570  25.2170200  -0.0939746  -0.0966802
   23   0.7048040  25.2148495  -0.0932957  -0.0961178
   24   0.7135032  25.2125607  -0.0925807  -0.0955241
   25   0.7231548  25.2100143  -0.0917897  -0.0948655
   26   0.7338477  25.2071877  -0.0909161  -0.0941356
   27   0.7456760  25.2040539  -0.0899534  -0.0933283
   28   0.7587438  25.2005882  -0.0888942  -0.0924360
   29   0.7731679  25.1967545  -0.0877305  -0.0914510
   30   0.7890702  25.1925144  -0.0864532  -0.0903644
   31   0.8075379  25.1875801  -0.0849765  -0.0891011
   32   0.8279865  25.1821041  -0.0833476  -0.0876999
   33   0.8506449  25.1760197  -0.0815471  -0.0861432
   34   0.8757798  25.1692467  -0.0795497  -0.0844088
   35   0.9037161  25.1617012  -0.0773254  -0.0824711
   36   0.9348528  25.1532574  -0.0748369  -0.0802994
   37   0.9696443  25.1437931  -0.0720435  -0.0778643
   38   1.0083371  25.1332321  -0.0689235  -0.0751587
   39   1.0530392  25.1209927  -0.0653028  -0.0720467
   40   1.1022016  25.1074772  -0.0613103  -0.0686258
   41   1.1562685  25.0925770  -0.0569255  -0.0648160
   42   1.2157325  25.0761471  -0.0521247  -0.0605547
   43   1.2811322  25.0580387  -0.0468569  -0.0558819
   44   1.3530673  25.0380993  -0.0410554  -0.0508180
   45   1.4321927  25.0161552  -0.0346777  -0.0451547
   46   1.5192199  24.9919796  -0.0276927  -0.0387652
   47   1.6149284  24.9653034  -0.0200359  -0.0318087
   48   1.7201741  24.9358521  -0.0115444  -0.0240367
   49   1.8358918  24.9032631  -0.0020538  -0.0153202
   50   1.9631026  24.8671284   0.0080262  -0.0056958
   51   2.0902195  24.8306713   0.0180654   0.0039220
   52   2.2172778  24.7940102   0.0292836   0.0133653
   53   2.3327646  24.7606125   0.0377606   0.0223811
   54   2.4377639  24.7302895   0.0449428   0.0308031
   55   2.5332463  24.7028122   0.0513227   0.0379506
   56   2.6200829  24.6779633   0.0567884   0.0438500
   57   2.6990712  24.6555252   0.0616046   0.0493628
   58   2.7709248  24.6352959   0.0658539   0.0545500
   59   2.8362918  24.6170769   0.0695137   0.0591936
   60   2.8957634  24.6006737   0.0726675   0.0632749
   61   2.9498708  24.5859203   0.0754358   0.0668639
   62   2.9990990  24.5726490   0.0778957   0.0700301
   63   3.0438879  24.5607128   0.0800867   0.0728423
   64   3.0826695  24.5504951   0.0819427   0.0752380
   65   3.1175578  24.5413914   0.0835772   0.0773700
   66   3.1487932  24.5333233   0.0850123   0.0792631
   67   3.1768284  24.5261555   0.0862788   0.0809510
   68   3.2020602  24.5197525   0.0874028   0.0824613
   69   3.2248096  24.5140324   0.0884044   0.0838165
   70   3.2453499  24.5089035   0.0892995   0.0850347
   71   3.2639012  24.5043049   0.0901012   0.0861313
   72   3.2798827  24.5003719   0.0907869   0.0870729
   73   3.2943776  24.4968224   0.0914053   0.0879251
   74   3.3075116  24.4936180   0.0919627   0.0886955
   75   3.3194032  24.4907322   0.0924652   0.0893918
   76   3.3301520  24.4881344   0.0929177   0.0900203
   77   3.3398571  24.4857960   0.0933249   0.0905869
   78   3.3486044  24.4836960   0.0936909   0.0910971
   79   3.3564782  24.4818134   0.0940194   0.0915558
   80   3.3639302  24.4800301   0.0943297   0.0919898
   81   3.3705847  24.4784489   0.0946062   0.0923768
   82   3.3765104  24.4770393   0.0948520   0.0927212
   83   3.3817730  24.4757938   0.0950700   0.0930270
   84   3.3864362  24.4746914   0.0952628   0.0932977
   85   3.3905509  24.4737186   0.0954330   0.0935367
   86   3.3941777  24.4728603   0.0955799   0.0937471
   87   3.3973606  24.4721107   0.0956609   0.0939317
   88   3.4001465  24.4714565   0.0956957   0.0940935
   89   3.4025824  24.4708843   0.0957043   0.0942346
   90   3.4047058  24.4703846   0.0956960   0.0943578
   91   3.4065573  24.4699516   0.0956763   0.0944650
   92   3.4081702  24.4695702   0.0956486   0.0945586
   93   3.4095771  24.4692421   0.0956150   0.0946400
   94   3.4108014  24.4689560   0.0955769   0.0947110
   95   3.4118683  24.4687061   0.0955349   0.0947727
   96   3.4127951  24.4684887   0.0954893   0.0948265
   97   3.4136028  24.4682980   0.0954393   0.0948765
   98   3.4143066  24.4681358   0.0953831   0.0949328
   99   3.4149184  24.4679928   0.0953141   0.0950015
  100   3.4154623  24.4678631   0.0951579   0.0951579
