 Table IV NASA Rotor 37 Blade Geometry
 Z and R are in centimeters

 SURFACE NUMBER     1 FROM THE HUB - hub/blade intersection.
    J      Z           R         THETA 1     THETA 2
   73   4.0463820  19.2286549   0.0802141   0.0747987
   74   4.0661812  19.2312202   0.0804930   0.0754144
   75   4.0840960  19.2335472   0.0807404   0.0759672
   76   4.1002913  19.2356491   0.0809599   0.0764632
   77   4.1149082  19.2375469   0.0811550   0.0769081
   78   4.1280842  19.2392597   0.0813283   0.0773069
   79   4.1399369  19.2408009   0.0814825   0.0776640
   80   4.1511598  19.2422581   0.0816268   0.0780007
   81   4.1611743  19.2435646   0.0817543   0.0783001
   82   4.1700926  19.2447205   0.0818671   0.0785660
   83   4.1780133  19.2457542   0.0819664   0.0788013
   84   4.1850243  19.2466736   0.0820540   0.0790096
   85   4.1912222  19.2474785   0.0821309   0.0791929
   86   4.1966734  19.2481899   0.0821984   0.0793541
   87   4.2014637  19.2488174   0.0822531   0.0794956
   88   4.2056561  19.2493629   0.0822662   0.0796192
   89   4.2093167  19.2498398   0.0822456   0.0797272
   90   4.2125120  19.2502594   0.0822023   0.0798213
   91   4.2152963  19.2506256   0.0821428   0.0799032
   92   4.2177224  19.2509422   0.0820719   0.0799770
   93   4.2198362  19.2512150   0.0819923   0.0800563
   94   4.2216787  19.2514591   0.0819062   0.0801427
   95   4.2232809  19.2516708   0.0818140   0.0802349
   96   4.2246747  19.2518501   0.0817157   0.0803332
   97   4.2258892  19.2520103   0.0816096   0.0804393
   98   4.2269468  19.2521477   0.0814914   0.0805575
   99   4.2278676  19.2522697   0.0813477   0.0807013
  100   4.2286863  19.2523746   0.0810244   0.0810244
 SURFACE NUMBER     3 FROM THE HUB.
    J      Z           R         THETA 1     THETA 2
    1   0.0957971  19.1402092  -0.1107700  -0.1107700
    2   0.0965538  19.1403027  -0.1104626  -0.1110773
    3   0.0974253  19.1404190  -0.1103239  -0.1112160
    4   0.0984312  19.1405449  -0.1102094  -0.1113305
    5   0.0995870  19.1406994  -0.1101043  -0.1114334
    6   0.1009179  19.1408691  -0.1099861  -0.1115286
    7   0.1024500  19.1410694  -0.1098502  -0.1116181
    8   0.1042107  19.1412983  -0.1096941  -0.1117020
    9   0.1062304  19.1415596  -0.1095149  -0.1117793
   10   0.1085496  19.1418591  -0.1093093  -0.1118485
   11   0.1112146  19.1422081  -0.1090733  -0.1119066
   12   0.1142709  19.1426067  -0.1088028  -0.1119496
   13   0.1177744  19.1430664  -0.1084925  -0.1119706
   14   0.1217908  19.1435966  -0.1081373  -0.1119595
   15   0.1263792  19.1442032  -0.1077321  -0.1118992
   16   0.1316077  19.1448994  -0.1072707  -0.1117565
   17   0.1375477  19.1456966  -0.1067471  -0.1114604
   18   0.1442751  19.1466007  -0.1061549  -0.1110821
   19   0.1518719  19.1476345  -0.1054876  -0.1106554
   20   0.1604289  19.1488056  -0.1047378  -0.1101751
   21   0.1700354  19.1501408  -0.1038977  -0.1096362
   22   0.1808002  19.1516533  -0.1029596  -0.1090333
   23   0.1928323  19.1533604  -0.1019148  -0.1083599
   24   0.2055252  19.1551933  -0.1008172  -0.1076505
   25   0.2196052  19.1572571  -0.0996054  -0.1068649
   26   0.2351965  19.1595726  -0.0982707  -0.1059965
   27   0.2524413  19.1621761  -0.0968038  -0.1050381
   28   0.2714879  19.1651058  -0.0951957  -0.1039821
   29   0.2925031  19.1683903  -0.0934360  -0.1028200
   30   0.3156702  19.1720753  -0.0915140  -0.1015428
   31   0.3425620  19.1764374  -0.0893065  -0.1000648
   32   0.3723292  19.1813564  -0.0868913  -0.0984344
   33   0.4053002  19.1869125  -0.0842458  -0.0966332
   34   0.4418662  19.1931934  -0.0813413  -0.0946388
   35   0.4824945  19.2003002  -0.0781399  -0.0924232
   36   0.5277618  19.2083492  -0.0745926  -0.0899506
   37   0.5783347  19.2174759  -0.0706522  -0.0871792
   38   0.6345727  19.2277431  -0.0663138  -0.0840832
   39   0.6995459  19.2396889  -0.0613898  -0.0804826
   40   0.7710183  19.2528324  -0.0561184  -0.0764928
   41   0.8496532  19.2672253  -0.0504940  -0.0720933
   42   0.9361599  19.2830124  -0.0444633  -0.0673078
   43   1.0313102  19.3004360  -0.0379653  -0.0621465
   44   1.1359355  19.3198204  -0.0309519  -0.0564927
   45   1.2509447  19.3415909  -0.0233817  -0.0501694
   46   1.3772979  19.3663177  -0.0152175  -0.0431433
   47   1.5160723  19.3945503  -0.0065011  -0.0354543
