Block 0
   3   0     5.71772085696439e-18
   3   1    -1.67052191781813e-21
   4   0     1.24999999999999e-06
 22 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3       8.470329472543e-21
   0   4     7.81249999999998e-08
   1   0                        0
   1   1                        0
   1   2                        0
   1   3                        0
   2   0     0.000833333333333334
   2   1                        0
   2   2     1.73611111111111e-07
   3   0     4.51750905202293e-20
   3   1                        0
   4   0                 1.25e-06
 23 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3    -1.07290839985545e-19
   0   4     7.81249999999997e-08
   1   0                        0
   1   1     4.19224840027719e-19
   1   2      3.1703878527097e-19
   1   3     1.85046661739637e-22
   2   0     0.000833333333333333
   2   1    -1.39862080250631e-19
   2   2     1.73611111111111e-07
   3   0     3.67869797124331e-18
   3   1     1.68844305266484e-21
   4   0                 1.25e-06
 24 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3       8.470329472543e-21
   0   4     7.81249999999998e-08
   1   0                        0
   1   1                        0
   1   2                        0
   1   3                        0
   2   0     0.000833333333333334
   2   1                        0
   2   2     1.73611111111111e-07
   3   0     4.51750905202293e-20
   3   1                        0
   4   0                 1.25e-06
 25 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3      -8.470329472543e-21
   0   4     7.81249999999996e-08
   1   0                        0
   1   1    -1.13961695019032e-18
   1   2    -6.18597572857005e-20
   1   3     -3.7200912747589e-22
   2   0     0.000833333333333329
   2   1    -5.15598366470896e-20
   2   2     1.73611111111109e-07
   3   0    -7.16657636012912e-19
   3   1    -3.36415966016497e-21
   4   0     1.24999999999999e-06
 26 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3     5.64688631502866e-21
   0   4               7.8125e-08
   1   0                        0
   1   1     9.89033315122878e-19
   1   2     1.55974529202845e-19
   1   3     3.71445510623925e-22
   2   0      0.00083333333333334
   2   1     5.15598366470862e-20
   2   2     1.73611111111112e-07
   3   0     1.89120998953889e-18
   3   1     3.34622431370161e-21
   4   0     1.25000000000002e-06
 27 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333332
   0   3    -2.56933327333804e-19
   0   4     7.81249999999995e-08
   1   0                        0
   1   1    -1.50583635067431e-19
   1   2     7.34095220953726e-19
   1   3     3.34256255098994e-25
   2   0     0.000833333333333323
   2   1    -3.61400724161834e-19
   2   2     1.73611111111109e-07
   3   0      8.9446679230054e-18
   3   1     -7.8036044791276e-24
   4   0     1.24999999999998e-06
 28 0 4.999999999999977e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3     2.28698895758662e-19
   0   4               7.8125e-08
   1   0                        0
   1   1    -1.13961695019037e-18
   1   2    -6.56243481623845e-20
   1   3    -3.70827931431974e-22
   2   0     0.000833333333333333
   2   1     2.64665796994511e-19
   2   2      1.7361111111111e-07
   3   0    -7.16657636012916e-19
   3   1    -3.36606625740018e-21
   4   0                 1.25e-06
 29 0 5.000000000000032e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3    -2.37169225231203e-19
   0   4     7.81249999999997e-08
   1   0                        0
   1   1                        0
   1   2     5.27042722736006e-20
   1   3    -1.11490451971583e-22
   2   0     0.000833333333333341
   2   1    -2.15153897784349e-19
   2   2     1.73611111111112e-07
   3   0     6.58472119422871e-19
   3   1    -2.44149915154663e-21
   4   0     1.25000000000003e-06
 30 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3    -1.01643953670516e-19
   0   4     7.81249999999996e-08
   1   0                        0
   1   1    -1.13961695019031e-18
   1   2     6.64706281914653e-19
   1   3    -3.72544087112534e-22
   2   0     0.000833333333333329
   2   1    -1.72026744701032e-19
   2   2     1.73611111111109e-07
   3   0     8.13766010595203e-18
   3   1    -3.36242898880622e-21
   4   0     1.24999999999999e-06
 31 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3     8.18798515679156e-20
   0   4     7.81250000000002e-08
   1   0                        0
   1   1                        0
   1   2     -9.7126444618493e-19
   1   3    -1.10814429336313e-22
   2   0     0.000833333333333345
   2   1      2.0648028040446e-19
   2   2     1.73611111111113e-07
   3   0    -1.16291525020795e-17
   3   1    -2.46199167752845e-21
   4   0     1.25000000000004e-06
 32 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333332
   0   3    -1.07290839985545e-19
   0   4     7.81249999999995e-08
   1   0                        0
   1   1    -1.50583635067431e-19
   1   2     7.34095220953726e-19
   1   3      4.9027790599648e-26
   2   0     0.000833333333333323
   2   1    -1.35525271560688e-19
   2   2     1.73611111111109e-07
   3   0      8.9446679230054e-18
   3   1     2.93233886301589e-24
   4   0     1.24999999999998e-06
 33 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3      -8.470329472543e-21
   0   4     7.81249999999996e-08
   1   0                        0
   1   1    -1.13961695019032e-18
   1   2     2.20484558465733e-19
   1   3    -3.71840391140773e-22
   2   0     0.000833333333333329
   2   1    -5.15598366470896e-20
   2   2     1.73611111111109e-07
   3   0      2.5359488814436e-18
   3   1     -3.3423614288672e-21
   4   0     1.24999999999999e-06
 34 0 4.999999999999893e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333338
   0   3     1.04185052512281e-18
   0   4     7.81250000000017e-08
   1   0                        0
   1   1     8.38449680055647e-19
   1   2    -4.00013379865835e-18
   1   3     3.71732402387952e-22
   2   0     0.000833333333333359
   2   1     1.43692927926751e-18
   2   2     1.73611111111116e-07
   3   0    -4.80724401258358e-17
   3   1     3.34579692452024e-21
   4   0     1.25000000000005e-06
 35 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3      -8.470329472543e-21
   0   4     7.81249999999996e-08
   1   0                        0
   1   1    -1.29020058525776e-18
   1   2     3.07070148629505e-19
   1   3    -3.72059748873495e-22
   2   0     0.000833333333333329
   2   1    -5.15598366470896e-20
   2   2     1.73611111111109e-07
   3   0     3.66532614444933e-18
   3   1    -3.35957239160049e-21
   4   0     1.24999999999999e-06
 36 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3     5.64688631502866e-21
   0   4               7.8125e-08
   1   0                        0
   1   1     9.89033315122878e-19
   1   2    -1.22605195671902e-19
   1   3     3.71415844089888e-22
   2   0      0.00083333333333334
   2   1     5.15598366470862e-20
   2   2     1.73611111111112e-07
   3   0    -1.36139652791762e-18
   3   1     3.36272868522941e-21
   4   0     1.25000000000002e-06
 37 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333332
   0   3    -2.56933327333804e-19
   0   4     7.81249999999995e-08
   1   0                        0
   1   1    -1.50583635067431e-19
   1   2     7.34095220953726e-19
   1   3     3.34256255098994e-25
   2   0     0.000833333333333323
   2   1    -3.61400724161834e-19
   2   2     1.73611111111109e-07
   3   0      8.9446679230054e-18
   3   1     -7.8036044791276e-24
   4   0     1.24999999999998e-06
 38 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
